token,경주빈도,전주빈도,빈도합,경주비율,전주비율
연인,0,5,5,0.000000%,100.000000%
예술,0,5,5,0.000000%,100.000000%
예약금,0,5,5,0.000000%,100.000000%
오타쿠,0,5,5,0.000000%,100.000000%
오픈,0,5,5,0.000000%,100.000000%
왕복,0,5,5,0.000000%,100.000000%
요약,0,5,5,0.000000%,100.000000%
요일,0,5,5,0.000000%,100.000000%
욕조,0,5,5,0.000000%,100.000000%
운송,0,5,5,0.000000%,100.000000%
월요일,0,5,5,0.000000%,100.000000%
웨이팅,0,5,5,0.000000%,100.000000%
유명,0,5,5,0.000000%,100.000000%
음료,0,5,5,0.000000%,100.000000%
의외,0,5,5,0.000000%,100.000000%
이동은,0,5,5,0.000000%,100.000000%
인당,0,5,5,0.000000%,100.000000%
일,0,5,5,0.000000%,100.000000%
일반,0,5,5,0.000000%,100.000000%
일식,0,5,5,0.000000%,100.000000%
입장료,0,5,5,0.000000%,100.000000%
자만,0,5,5,0.000000%,100.000000%
전동성당,0,5,5,0.000000%,100.000000%
전라북도,0,5,5,0.000000%,100.000000%
전망,0,5,5,0.000000%,100.000000%
전주국,0,5,5,0.000000%,100.000000%
전주시,0,5,5,0.000000%,100.000000%
조선,0,5,5,0.000000%,100.000000%
주로,0,5,5,0.000000%,100.000000%
주목적,0,5,5,0.000000%,100.000000%
주문,0,5,5,0.000000%,100.000000%
주이,0,5,5,0.000000%,100.000000%
중간,0,5,5,0.000000%,100.000000%
중식,0,5,5,0.000000%,100.000000%
지방,0,5,5,0.000000%,100.000000%
지식,0,5,5,0.000000%,100.000000%
집,0,5,5,0.000000%,100.000000%
징,0,5,5,0.000000%,100.000000%
짬뽕,0,5,5,0.000000%,100.000000%
찜질방,0,5,5,0.000000%,100.000000%
천차만별,0,5,5,0.000000%,100.000000%
체증,0,5,5,0.000000%,100.000000%
침대,0,5,5,0.000000%,100.000000%
캐릭터,0,5,5,0.000000%,100.000000%
케이블카,0,5,5,0.000000%,100.000000%
코로나,0,5,5,0.000000%,100.000000%
콘,0,5,5,0.000000%,100.000000%
킹,0,5,5,0.000000%,100.000000%
태교,0,5,5,0.000000%,100.000000%
토대,0,5,5,0.000000%,100.000000%
통상,0,5,5,0.000000%,100.000000%
트레,0,5,5,0.000000%,100.000000%
특색,0,5,5,0.000000%,100.000000%
티,0,5,5,0.000000%,100.000000%
팀조,0,5,5,0.000000%,100.000000%
팔복,0,5,5,0.000000%,100.000000%
팜,0,5,5,0.000000%,100.000000%
페스타,0,5,5,0.000000%,100.000000%
폼,0,5,5,0.000000%,100.000000%
플랫,0,5,5,0.000000%,100.000000%
하늘,0,5,5,0.000000%,100.000000%
하트,0,5,5,0.000000%,100.000000%
항목,0,5,5,0.000000%,100.000000%
해설,0,5,5,0.000000%,100.000000%
허락,0,5,5,0.000000%,100.000000%
현장,0,5,5,0.000000%,100.000000%
현재,0,5,5,0.000000%,100.000000%
현지,0,5,5,0.000000%,100.000000%
현황,0,5,5,0.000000%,100.000000%
환급,0,5,5,0.000000%,100.000000%
효율,0,5,5,0.000000%,100.000000%
휴가,0,5,5,0.000000%,100.000000%
휴무,0,5,5,0.000000%,100.000000%
흐노,0,5,5,0.000000%,100.000000%
공예,0,4,4,0.000000%,100.000000%
프로그램,0,4,4,0.000000%,100.000000%
야,0,3,3,0.000000%,100.000000%
컨셉,0,3,3,0.000000%,100.000000%
부담,0,2,2,0.000000%,100.000000%
주역,0,2,2,0.000000%,100.000000%
시점,0,1,1,0.000000%,100.000000%
연,0,1,1,0.000000%,100.000000%
이여,0,1,1,0.000000%,100.000000%
전주비빔밥,0,1,1,0.000000%,100.000000%
해용,0,1,1,0.000000%,100.000000%
